region,site_nom,question,reponse_attendue
Mayotte,"Ancienne résidence des Gouverneurs, située au rocher de Dzaoudzi","Localisation de 'Ancienne résidence des Gouverneurs, située au rocher de Dzaoudzi' en Mayotte : dans quelle commune se trouve-t-il précisément ?",Dzaoudzi
Mayotte,"Ancienne résidence des Gouverneurs, située au rocher de Dzaoudzi","Concernant le patrimoine de la région Mayotte, pouvez-vous nommer la ville où est situé le site 'Ancienne résidence des Gouverneurs, située au rocher de Dzaoudzi' ?",Dzaoudzi
Mayotte,"Ancienne résidence des Gouverneurs, située au rocher de Dzaoudzi","Où est situé 'Ancienne résidence des Gouverneurs, située au rocher de Dzaoudzi' (Mayotte) ? Donnez uniquement le nom de la commune.",Dzaoudzi
Normandie,Eglise Saint-Michel-de-Vaucelles,Quel est le numéro de département pour le site 'Eglise Saint-Michel-de-Vaucelles' en Normandie ?,14
Normandie,Eglise Saint-Michel-de-Vaucelles,A quel code départemental est rattaché le lieu 'Eglise Saint-Michel-de-Vaucelles' ?,14
Normandie,Eglise Saint-Michel-de-Vaucelles,Donnez le numéro de département correspondant à : Eglise Saint-Michel-de-Vaucelles (Normandie).,14
Martinique,Eglise Sacré-Coeur de Balata,Quel est le numéro de département pour le site 'Eglise Sacré-Coeur de Balata' en Martinique ?,972
Martinique,Eglise Sacré-Coeur de Balata,A quel code départemental est rattaché le lieu 'Eglise Sacré-Coeur de Balata' ?,972
Martinique,Eglise Sacré-Coeur de Balata,Donnez le numéro de département correspondant à : Eglise Sacré-Coeur de Balata (Martinique).,972
Guadeloupe,Bloc gravé dit Chez Michaux,Localisation de 'Bloc gravé dit Chez Michaux' en Guadeloupe : dans quelle commune se trouve-t-il précisément ?,"Trois-Rivières, 971"
Guadeloupe,Bloc gravé dit Chez Michaux,"Concernant le patrimoine de la région Guadeloupe, pouvez-vous nommer la ville où est situé le site 'Bloc gravé dit Chez Michaux' ?","Trois-Rivières, 971"
Guadeloupe,Bloc gravé dit Chez Michaux,Où est situé 'Bloc gravé dit Chez Michaux' (Guadeloupe) ? Donnez uniquement le nom de la commune.,"Trois-Rivières, 971"
Hauts-de-France,Château,Localisation de 'Château' en Hauts-de-France : dans quelle commune se trouve-t-il précisément ?,Bernâtre
Hauts-de-France,Château,"Concernant le patrimoine de la région Hauts-de-France, pouvez-vous nommer la ville où est situé le site 'Château' ?",Bernâtre
Hauts-de-France,Château,Où est situé 'Château' (Hauts-de-France) ? Donnez uniquement le nom de la commune.,Bernâtre
Normandie,Eglise Saint-Michel-de-Vaucelles,Localisation de 'Eglise Saint-Michel-de-Vaucelles' en Normandie : dans quelle commune se trouve-t-il précisément ?,Caen
Normandie,Eglise Saint-Michel-de-Vaucelles,"Concernant le patrimoine de la région Normandie, pouvez-vous nommer la ville où est situé le site 'Eglise Saint-Michel-de-Vaucelles' ?",Caen
Normandie,Eglise Saint-Michel-de-Vaucelles,Où est situé 'Eglise Saint-Michel-de-Vaucelles' (Normandie) ? Donnez uniquement le nom de la commune.,Caen
Guadeloupe,Habitation Mont-Carmel,Quel est le numéro de département pour le site 'Habitation Mont-Carmel' en Guadeloupe ?,971
Guadeloupe,Habitation Mont-Carmel,A quel code départemental est rattaché le lieu 'Habitation Mont-Carmel' ?,971
Guadeloupe,Habitation Mont-Carmel,Donnez le numéro de département correspondant à : Habitation Mont-Carmel (Guadeloupe).,971
Occitanie,Vieux pont sur le Gers,Le site 'Vieux pont sur le Gers' est-il un musée ou un monument historique ?,Monument historique
Occitanie,Vieux pont sur le Gers,Quelle est la classification officielle de 'Vieux pont sur le Gers' en Occitanie ?,Monument historique
Occitanie,Vieux pont sur le Gers,'Vieux pont sur le Gers' : s'agit-il d'un monument historique ? Répondez par oui/non ou le type.,Monument historique
Bretagne,Moulin du Beauchet,Le site 'Moulin du Beauchet' est-il un musée ou un monument historique ?,Monument historique
Bretagne,Moulin du Beauchet,Quelle est la classification officielle de 'Moulin du Beauchet' en Bretagne ?,Monument historique
Bretagne,Moulin du Beauchet,'Moulin du Beauchet' : s'agit-il d'un monument historique ? Répondez par oui/non ou le type.,Monument historique
Pays de la Loire,Hôtel Périer du Bignon,Localisation de 'Hôtel Périer du Bignon' en Pays de la Loire : dans quelle commune se trouve-t-il précisément ?,Laval
Pays de la Loire,Hôtel Périer du Bignon,"Concernant le patrimoine de la région Pays de la Loire, pouvez-vous nommer la ville où est situé le site 'Hôtel Périer du Bignon' ?",Laval
Pays de la Loire,Hôtel Périer du Bignon,Où est situé 'Hôtel Périer du Bignon' (Pays de la Loire) ? Donnez uniquement le nom de la commune.,Laval
Grand Est,Eglise Saint-Rémy,Localisation de 'Eglise Saint-Rémy' en Grand Est : dans quelle commune se trouve-t-il précisément ?,"Domrémy-la-Pucelle, 88"
Grand Est,Eglise Saint-Rémy,"Concernant le patrimoine de la région Grand Est, pouvez-vous nommer la ville où est situé le site 'Eglise Saint-Rémy' ?","Domrémy-la-Pucelle, 88"
Grand Est,Eglise Saint-Rémy,Où est situé 'Eglise Saint-Rémy' (Grand Est) ? Donnez uniquement le nom de la commune.,"Domrémy-la-Pucelle, 88"
Corse,Cathédrale Santa Maria Assunta ou cathédrale Notre-Dame,Quel est le numéro de département pour le site 'Cathédrale Santa Maria Assunta ou cathédrale Notre-Dame' en Corse ?,2A
Corse,Cathédrale Santa Maria Assunta ou cathédrale Notre-Dame,A quel code départemental est rattaché le lieu 'Cathédrale Santa Maria Assunta ou cathédrale Notre-Dame' ?,2A
Corse,Cathédrale Santa Maria Assunta ou cathédrale Notre-Dame,Donnez le numéro de département correspondant à : Cathédrale Santa Maria Assunta ou cathédrale Notre-Dame (Corse).,2A
Centre-Val de Loire,Vestiges de la tour,Le site 'Vestiges de la tour' est-il un musée ou un monument historique ?,Monument historique
Centre-Val de Loire,Vestiges de la tour,Quelle est la classification officielle de 'Vestiges de la tour' en Centre-Val de Loire ?,Monument historique
Centre-Val de Loire,Vestiges de la tour,'Vestiges de la tour' : s'agit-il d'un monument historique ? Répondez par oui/non ou le type.,Monument historique
Bourgogne-Franche-Comté,Couvent des Minimes (ancien),Localisation de 'Couvent des Minimes (ancien)' en Bourgogne-Franche-Comté : dans quelle commune se trouve-t-il précisément ?,Semur-en-Auxois
Bourgogne-Franche-Comté,Couvent des Minimes (ancien),"Concernant le patrimoine de la région Bourgogne-Franche-Comté, pouvez-vous nommer la ville où est situé le site 'Couvent des Minimes (ancien)' ?",Semur-en-Auxois
Bourgogne-Franche-Comté,Couvent des Minimes (ancien),Où est situé 'Couvent des Minimes (ancien)' (Bourgogne-Franche-Comté) ? Donnez uniquement le nom de la commune.,Semur-en-Auxois
Bretagne,Ancienne conserverie Alexis Le Gall,Localisation de 'Ancienne conserverie Alexis Le Gall' en Bretagne : dans quelle commune se trouve-t-il précisément ?,rue de la Grandière ; impasse du Nord
Bretagne,Ancienne conserverie Alexis Le Gall,"Concernant le patrimoine de la région Bretagne, pouvez-vous nommer la ville où est situé le site 'Ancienne conserverie Alexis Le Gall' ?",rue de la Grandière ; impasse du Nord
Bretagne,Ancienne conserverie Alexis Le Gall,Où est situé 'Ancienne conserverie Alexis Le Gall' (Bretagne) ? Donnez uniquement le nom de la commune.,rue de la Grandière ; impasse du Nord
Grand Est,musée historique et industriel - musée du fer,Localisation de 'musée historique et industriel - musée du fer' en Grand Est : dans quelle commune se trouve-t-il précisément ?,"9, rue Jeanne d'Arc"
Grand Est,musée historique et industriel - musée du fer,"Concernant le patrimoine de la région Grand Est, pouvez-vous nommer la ville où est situé le site 'musée historique et industriel - musée du fer' ?","9, rue Jeanne d'Arc"
Grand Est,musée historique et industriel - musée du fer,Où est situé 'musée historique et industriel - musée du fer' (Grand Est) ? Donnez uniquement le nom de la commune.,"9, rue Jeanne d'Arc"
Martinique,Eglise Saint-Christophe,Localisation de 'Eglise Saint-Christophe' en Martinique : dans quelle commune se trouve-t-il précisément ?,"6, rue Saint-Christophe  ; 12, rue Tamarin-des-Indes"
Martinique,Eglise Saint-Christophe,"Concernant le patrimoine de la région Martinique, pouvez-vous nommer la ville où est situé le site 'Eglise Saint-Christophe' ?","6, rue Saint-Christophe  ; 12, rue Tamarin-des-Indes"
Martinique,Eglise Saint-Christophe,Où est situé 'Eglise Saint-Christophe' (Martinique) ? Donnez uniquement le nom de la commune.,"6, rue Saint-Christophe  ; 12, rue Tamarin-des-Indes"
Île-de-France,Immeuble dit petit hôtel d'Estrées,Localisation de 'Immeuble dit petit hôtel d'Estrées' en Île-de-France : dans quelle commune se trouve-t-il précisément ?,Paris 3e Arrondissement
Île-de-France,Immeuble dit petit hôtel d'Estrées,"Concernant le patrimoine de la région Île-de-France, pouvez-vous nommer la ville où est situé le site 'Immeuble dit petit hôtel d'Estrées' ?",Paris 3e Arrondissement
Île-de-France,Immeuble dit petit hôtel d'Estrées,Où est situé 'Immeuble dit petit hôtel d'Estrées' (Île-de-France) ? Donnez uniquement le nom de la commune.,Paris 3e Arrondissement
Guadeloupe,"Cathédrale Notre-Dame de Guadeloupe, ancienne église Saint-François","Localisation de 'Cathédrale Notre-Dame de Guadeloupe, ancienne église Saint-François' en Guadeloupe : dans quelle commune se trouve-t-il précisément ?",place Bébian
Guadeloupe,"Cathédrale Notre-Dame de Guadeloupe, ancienne église Saint-François","Concernant le patrimoine de la région Guadeloupe, pouvez-vous nommer la ville où est situé le site 'Cathédrale Notre-Dame de Guadeloupe, ancienne église Saint-François' ?",place Bébian
Guadeloupe,"Cathédrale Notre-Dame de Guadeloupe, ancienne église Saint-François","Où est situé 'Cathédrale Notre-Dame de Guadeloupe, ancienne église Saint-François' (Guadeloupe) ? Donnez uniquement le nom de la commune.",place Bébian
Île-de-France,Cité ouvrière Les Dents de Scie,Localisation de 'Cité ouvrière Les Dents de Scie' en Île-de-France : dans quelle commune se trouve-t-il précisément ?,"6 à 60, 5 à 27 avenue Marceau"
Île-de-France,Cité ouvrière Les Dents de Scie,"Concernant le patrimoine de la région Île-de-France, pouvez-vous nommer la ville où est situé le site 'Cité ouvrière Les Dents de Scie' ?","6 à 60, 5 à 27 avenue Marceau"
Île-de-France,Cité ouvrière Les Dents de Scie,Où est situé 'Cité ouvrière Les Dents de Scie' (Île-de-France) ? Donnez uniquement le nom de la commune.,"6 à 60, 5 à 27 avenue Marceau"
Île-de-France,Eglise Saint-Symphorien,Le site 'Eglise Saint-Symphorien' est-il un musée ou un monument historique ?,Monument historique
Île-de-France,Eglise Saint-Symphorien,Quelle est la classification officielle de 'Eglise Saint-Symphorien' en Île-de-France ?,Monument historique
Île-de-France,Eglise Saint-Symphorien,'Eglise Saint-Symphorien' : s'agit-il d'un monument historique ? Répondez par oui/non ou le type.,Monument historique
Guadeloupe,Monument aux morts,Localisation de 'Monument aux morts' en Guadeloupe : dans quelle commune se trouve-t-il précisément ?,"Anse-Bertrand, 971"
Guadeloupe,Monument aux morts,"Concernant le patrimoine de la région Guadeloupe, pouvez-vous nommer la ville où est situé le site 'Monument aux morts' ?","Anse-Bertrand, 971"
Guadeloupe,Monument aux morts,Où est situé 'Monument aux morts' (Guadeloupe) ? Donnez uniquement le nom de la commune.,"Anse-Bertrand, 971"
Hauts-de-France,Ancienne abbaye,Quel est le numéro de département pour le site 'Ancienne abbaye' en Hauts-de-France ?,59
Hauts-de-France,Ancienne abbaye,A quel code départemental est rattaché le lieu 'Ancienne abbaye' ?,59
Hauts-de-France,Ancienne abbaye,Donnez le numéro de département correspondant à : Ancienne abbaye (Hauts-de-France).,59
Nouvelle-Aquitaine,Eglise Saint-Aignan,Quel est le numéro de département pour le site 'Eglise Saint-Aignan' en Nouvelle-Aquitaine ?,33
Nouvelle-Aquitaine,Eglise Saint-Aignan,A quel code départemental est rattaché le lieu 'Eglise Saint-Aignan' ?,33
Nouvelle-Aquitaine,Eglise Saint-Aignan,Donnez le numéro de département correspondant à : Eglise Saint-Aignan (Nouvelle-Aquitaine).,33
Nouvelle-Aquitaine,Vieux pont de Beissat sur la Gartempe (également sur commune de Saint-Ouen-sur-Gartempe),Quel est le numéro de département pour le site 'Vieux pont de Beissat sur la Gartempe (également sur commune de Saint-Ouen-sur-Gartempe)' en Nouvelle-Aquitaine ?,87
Nouvelle-Aquitaine,Vieux pont de Beissat sur la Gartempe (également sur commune de Saint-Ouen-sur-Gartempe),A quel code départemental est rattaché le lieu 'Vieux pont de Beissat sur la Gartempe (également sur commune de Saint-Ouen-sur-Gartempe)' ?,87
Nouvelle-Aquitaine,Vieux pont de Beissat sur la Gartempe (également sur commune de Saint-Ouen-sur-Gartempe),Donnez le numéro de département correspondant à : Vieux pont de Beissat sur la Gartempe (également sur commune de Saint-Ouen-sur-Gartempe) (Nouvelle-Aquitaine).,87
Guadeloupe,Sucrerie Trianon,Localisation de 'Sucrerie Trianon' en Guadeloupe : dans quelle commune se trouve-t-il précisément ?,"Grand-Bourg, 971"
Guadeloupe,Sucrerie Trianon,"Concernant le patrimoine de la région Guadeloupe, pouvez-vous nommer la ville où est situé le site 'Sucrerie Trianon' ?","Grand-Bourg, 971"
Guadeloupe,Sucrerie Trianon,Où est situé 'Sucrerie Trianon' (Guadeloupe) ? Donnez uniquement le nom de la commune.,"Grand-Bourg, 971"
Nouvelle-Aquitaine,Ancien Hôtel de Peyré ou maison dite de Sully,Localisation de 'Ancien Hôtel de Peyré ou maison dite de Sully' en Nouvelle-Aquitaine : dans quelle commune se trouve-t-il précisément ?,Pau
Nouvelle-Aquitaine,Ancien Hôtel de Peyré ou maison dite de Sully,"Concernant le patrimoine de la région Nouvelle-Aquitaine, pouvez-vous nommer la ville où est situé le site 'Ancien Hôtel de Peyré ou maison dite de Sully' ?",Pau
Nouvelle-Aquitaine,Ancien Hôtel de Peyré ou maison dite de Sully,Où est situé 'Ancien Hôtel de Peyré ou maison dite de Sully' (Nouvelle-Aquitaine) ? Donnez uniquement le nom de la commune.,Pau
Occitanie,Ancien foyer de progrès agricole puis centre de formation professionnelle et de promotion agricoles (CFPPA),Quel est le numéro de département pour le site 'Ancien foyer de progrès agricole puis centre de formation professionnelle et de promotion agricoles (CFPPA)' en Occitanie ?,30
Occitanie,Ancien foyer de progrès agricole puis centre de formation professionnelle et de promotion agricoles (CFPPA),A quel code départemental est rattaché le lieu 'Ancien foyer de progrès agricole puis centre de formation professionnelle et de promotion agricoles (CFPPA)' ?,30
Occitanie,Ancien foyer de progrès agricole puis centre de formation professionnelle et de promotion agricoles (CFPPA),Donnez le numéro de département correspondant à : Ancien foyer de progrès agricole puis centre de formation professionnelle et de promotion agricoles (CFPPA) (Occitanie).,30
Martinique,Anciens entrepôts,Quel est le numéro de département pour le site 'Anciens entrepôts' en Martinique ?,972
Martinique,Anciens entrepôts,A quel code départemental est rattaché le lieu 'Anciens entrepôts' ?,972
Martinique,Anciens entrepôts,Donnez le numéro de département correspondant à : Anciens entrepôts (Martinique).,972
La Réunion,"Maison dite Oudin, à Moufia-les-Hauts","Localisation de 'Maison dite Oudin, à Moufia-les-Hauts' en La Réunion : dans quelle commune se trouve-t-il précisément ?",6 chemin des Noyers
La Réunion,"Maison dite Oudin, à Moufia-les-Hauts","Concernant le patrimoine de la région La Réunion, pouvez-vous nommer la ville où est situé le site 'Maison dite Oudin, à Moufia-les-Hauts' ?",6 chemin des Noyers
La Réunion,"Maison dite Oudin, à Moufia-les-Hauts","Où est situé 'Maison dite Oudin, à Moufia-les-Hauts' (La Réunion) ? Donnez uniquement le nom de la commune.",6 chemin des Noyers
Guyane,Ancienne boulangerie Anatole,Le site 'Ancienne boulangerie Anatole' est-il un musée ou un monument historique ?,Monument historique
Guyane,Ancienne boulangerie Anatole,Quelle est la classification officielle de 'Ancienne boulangerie Anatole' en Guyane ?,Monument historique
Guyane,Ancienne boulangerie Anatole,'Ancienne boulangerie Anatole' : s'agit-il d'un monument historique ? Répondez par oui/non ou le type.,Monument historique
Grand Est,Eglise de Longwy-haut,Localisation de 'Eglise de Longwy-haut' en Grand Est : dans quelle commune se trouve-t-il précisément ?,"Longwy, 54"
Grand Est,Eglise de Longwy-haut,"Concernant le patrimoine de la région Grand Est, pouvez-vous nommer la ville où est situé le site 'Eglise de Longwy-haut' ?","Longwy, 54"
Grand Est,Eglise de Longwy-haut,Où est situé 'Eglise de Longwy-haut' (Grand Est) ? Donnez uniquement le nom de la commune.,"Longwy, 54"
La Réunion,"Cheminées de la ""Rivière Saint-Etienne""","Quel est le numéro de département pour le site 'Cheminées de la ""Rivière Saint-Etienne""' en La Réunion ?",974
La Réunion,"Cheminées de la ""Rivière Saint-Etienne""","A quel code départemental est rattaché le lieu 'Cheminées de la ""Rivière Saint-Etienne""' ?",974
La Réunion,"Cheminées de la ""Rivière Saint-Etienne""","Donnez le numéro de département correspondant à : Cheminées de la ""Rivière Saint-Etienne"" (La Réunion).",974
Auvergne-Rhône-Alpes,Croix de chemin en pierre provenant de l'ancien cimetiere de Farlon,Localisation de 'Croix de chemin en pierre provenant de l'ancien cimetiere de Farlon' en Auvergne-Rhône-Alpes : dans quelle commune se trouve-t-il précisément ?,"La Roche-sur-Foron, 74"
Auvergne-Rhône-Alpes,Croix de chemin en pierre provenant de l'ancien cimetiere de Farlon,"Concernant le patrimoine de la région Auvergne-Rhône-Alpes, pouvez-vous nommer la ville où est situé le site 'Croix de chemin en pierre provenant de l'ancien cimetiere de Farlon' ?","La Roche-sur-Foron, 74"
Auvergne-Rhône-Alpes,Croix de chemin en pierre provenant de l'ancien cimetiere de Farlon,Où est situé 'Croix de chemin en pierre provenant de l'ancien cimetiere de Farlon' (Auvergne-Rhône-Alpes) ? Donnez uniquement le nom de la commune.,"La Roche-sur-Foron, 74"
Nouvelle-Aquitaine,Eglise Saint-Jean-Baptiste,Le site 'Eglise Saint-Jean-Baptiste' est-il un musée ou un monument historique ?,Monument historique
Nouvelle-Aquitaine,Eglise Saint-Jean-Baptiste,Quelle est la classification officielle de 'Eglise Saint-Jean-Baptiste' en Nouvelle-Aquitaine ?,Monument historique
Nouvelle-Aquitaine,Eglise Saint-Jean-Baptiste,'Eglise Saint-Jean-Baptiste' : s'agit-il d'un monument historique ? Répondez par oui/non ou le type.,Monument historique
Pays de la Loire,Halles,Localisation de 'Halles' en Pays de la Loire : dans quelle commune se trouve-t-il précisément ?,Clisson
Pays de la Loire,Halles,"Concernant le patrimoine de la région Pays de la Loire, pouvez-vous nommer la ville où est situé le site 'Halles' ?",Clisson
Pays de la Loire,Halles,Où est situé 'Halles' (Pays de la Loire) ? Donnez uniquement le nom de la commune.,Clisson
Guadeloupe,Eglise de la paroisse Saint-André,Le site 'Eglise de la paroisse Saint-André' est-il un musée ou un monument historique ?,Monument historique
Guadeloupe,Eglise de la paroisse Saint-André,Quelle est la classification officielle de 'Eglise de la paroisse Saint-André' en Guadeloupe ?,Monument historique
Guadeloupe,Eglise de la paroisse Saint-André,'Eglise de la paroisse Saint-André' : s'agit-il d'un monument historique ? Répondez par oui/non ou le type.,Monument historique
Mayotte,Mosquée du 16e siècle,Localisation de 'Mosquée du 16e siècle' en Mayotte : dans quelle commune se trouve-t-il précisément ?,"Tsingoni, 976"
Mayotte,Mosquée du 16e siècle,"Concernant le patrimoine de la région Mayotte, pouvez-vous nommer la ville où est situé le site 'Mosquée du 16e siècle' ?","Tsingoni, 976"
Mayotte,Mosquée du 16e siècle,Où est situé 'Mosquée du 16e siècle' (Mayotte) ? Donnez uniquement le nom de la commune.,"Tsingoni, 976"
Normandie,Ancien hôtel du Comte Curial,Quel est le numéro de département pour le site 'Ancien hôtel du Comte Curial' en Normandie ?,61
Normandie,Ancien hôtel du Comte Curial,A quel code départemental est rattaché le lieu 'Ancien hôtel du Comte Curial' ?,61
Normandie,Ancien hôtel du Comte Curial,Donnez le numéro de département correspondant à : Ancien hôtel du Comte Curial (Normandie).,61
Martinique,Anciens entrepôts,Le site 'Anciens entrepôts' est-il un musée ou un monument historique ?,Monument historique
Martinique,Anciens entrepôts,Quelle est la classification officielle de 'Anciens entrepôts' en Martinique ?,Monument historique
Martinique,Anciens entrepôts,'Anciens entrepôts' : s'agit-il d'un monument historique ? Répondez par oui/non ou le type.,Monument historique
La Réunion,Propriété High Hall,Localisation de 'Propriété High Hall' en La Réunion : dans quelle commune se trouve-t-il précisément ?,Saint-André
La Réunion,Propriété High Hall,"Concernant le patrimoine de la région La Réunion, pouvez-vous nommer la ville où est situé le site 'Propriété High Hall' ?",Saint-André
La Réunion,Propriété High Hall,Où est situé 'Propriété High Hall' (La Réunion) ? Donnez uniquement le nom de la commune.,Saint-André
Île-de-France,Caserne de la Garde Républicaine,Le site 'Caserne de la Garde Républicaine' est-il un musée ou un monument historique ?,Monument historique
Île-de-France,Caserne de la Garde Républicaine,Quelle est la classification officielle de 'Caserne de la Garde Républicaine' en Île-de-France ?,Monument historique
Île-de-France,Caserne de la Garde Républicaine,'Caserne de la Garde Républicaine' : s'agit-il d'un monument historique ? Répondez par oui/non ou le type.,Monument historique
Mayotte,Caserne de Petite Terre,Quel est le numéro de département pour le site 'Caserne de Petite Terre' en Mayotte ?,976
Mayotte,Caserne de Petite Terre,A quel code départemental est rattaché le lieu 'Caserne de Petite Terre' ?,976
Mayotte,Caserne de Petite Terre,Donnez le numéro de département correspondant à : Caserne de Petite Terre (Mayotte).,976
Bretagne,Eglise ou chapelle de la Véronique,Quel est le numéro de département pour le site 'Eglise ou chapelle de la Véronique' en Bretagne ?,29
Bretagne,Eglise ou chapelle de la Véronique,A quel code départemental est rattaché le lieu 'Eglise ou chapelle de la Véronique' ?,29
Bretagne,Eglise ou chapelle de la Véronique,Donnez le numéro de département correspondant à : Eglise ou chapelle de la Véronique (Bretagne).,29
Pays de la Loire,Château de la Sorinière,Localisation de 'Château de la Sorinière' en Pays de la Loire : dans quelle commune se trouve-t-il précisément ?,"Chemillé, 49"
Pays de la Loire,Château de la Sorinière,"Concernant le patrimoine de la région Pays de la Loire, pouvez-vous nommer la ville où est situé le site 'Château de la Sorinière' ?","Chemillé, 49"
Pays de la Loire,Château de la Sorinière,Où est situé 'Château de la Sorinière' (Pays de la Loire) ? Donnez uniquement le nom de la commune.,"Chemillé, 49"
Martinique,Presbytère,Localisation de 'Presbytère' en Martinique : dans quelle commune se trouve-t-il précisément ?,"Case-Pilote, 972"
Martinique,Presbytère,"Concernant le patrimoine de la région Martinique, pouvez-vous nommer la ville où est situé le site 'Presbytère' ?","Case-Pilote, 972"
Martinique,Presbytère,Où est situé 'Presbytère' (Martinique) ? Donnez uniquement le nom de la commune.,"Case-Pilote, 972"
La Réunion,Résidence du premier Président de la Cour d'Appel,Quel est le numéro de département pour le site 'Résidence du premier Président de la Cour d'Appel' en La Réunion ?,974
La Réunion,Résidence du premier Président de la Cour d'Appel,A quel code départemental est rattaché le lieu 'Résidence du premier Président de la Cour d'Appel' ?,974
La Réunion,Résidence du premier Président de la Cour d'Appel,Donnez le numéro de département correspondant à : Résidence du premier Président de la Cour d'Appel (La Réunion).,974
Guadeloupe,Eglise de la paroisse Saint-André,Localisation de 'Eglise de la paroisse Saint-André' en Guadeloupe : dans quelle commune se trouve-t-il précisément ?,"Morne-à-l'Eau, 971"
Guadeloupe,Eglise de la paroisse Saint-André,"Concernant le patrimoine de la région Guadeloupe, pouvez-vous nommer la ville où est situé le site 'Eglise de la paroisse Saint-André' ?","Morne-à-l'Eau, 971"
Guadeloupe,Eglise de la paroisse Saint-André,Où est situé 'Eglise de la paroisse Saint-André' (Guadeloupe) ? Donnez uniquement le nom de la commune.,"Morne-à-l'Eau, 971"
Guadeloupe,Sucrerie Trianon,Quel est le numéro de département pour le site 'Sucrerie Trianon' en Guadeloupe ?,971
Guadeloupe,Sucrerie Trianon,A quel code départemental est rattaché le lieu 'Sucrerie Trianon' ?,971
Guadeloupe,Sucrerie Trianon,Donnez le numéro de département correspondant à : Sucrerie Trianon (Guadeloupe).,971
Occitanie,Pont sur l'Hérault,Localisation de 'Pont sur l'Hérault' en Occitanie : dans quelle commune se trouve-t-il précisément ?,"Gignac, 34"
Occitanie,Pont sur l'Hérault,"Concernant le patrimoine de la région Occitanie, pouvez-vous nommer la ville où est situé le site 'Pont sur l'Hérault' ?","Gignac, 34"
Occitanie,Pont sur l'Hérault,Où est situé 'Pont sur l'Hérault' (Occitanie) ? Donnez uniquement le nom de la commune.,"Gignac, 34"
La Réunion,"Maison dite Oudin, à Moufia-les-Hauts","Quel est le numéro de département pour le site 'Maison dite Oudin, à Moufia-les-Hauts' en La Réunion ?",974
La Réunion,"Maison dite Oudin, à Moufia-les-Hauts","A quel code départemental est rattaché le lieu 'Maison dite Oudin, à Moufia-les-Hauts' ?",974
La Réunion,"Maison dite Oudin, à Moufia-les-Hauts","Donnez le numéro de département correspondant à : Maison dite Oudin, à Moufia-les-Hauts (La Réunion).",974
Grand Est,Terrains de zone rouge sur la butte,Localisation de 'Terrains de zone rouge sur la butte' en Grand Est : dans quelle commune se trouve-t-il précisément ?,"Vauquois, 55"
Grand Est,Terrains de zone rouge sur la butte,"Concernant le patrimoine de la région Grand Est, pouvez-vous nommer la ville où est situé le site 'Terrains de zone rouge sur la butte' ?","Vauquois, 55"
Grand Est,Terrains de zone rouge sur la butte,Où est situé 'Terrains de zone rouge sur la butte' (Grand Est) ? Donnez uniquement le nom de la commune.,"Vauquois, 55"
Centre-Val de Loire,Maison-forte de Chaudenay,Localisation de 'Maison-forte de Chaudenay' en Centre-Val de Loire : dans quelle commune se trouve-t-il précisément ?,"Faverdines, 18"
Centre-Val de Loire,Maison-forte de Chaudenay,"Concernant le patrimoine de la région Centre-Val de Loire, pouvez-vous nommer la ville où est situé le site 'Maison-forte de Chaudenay' ?","Faverdines, 18"
